reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,insturctions.started,key_instruct.started,insturctions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,polygon.started,choice.started,polygon.stopped,trial.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0568110829917714,0.08930295798927546,9.245762791018933,space,9.040514208027162,0.11485554196406156,,,,,,,,,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
52,79,91,0,0,0,47,9.4048550829757,,,,,,,,9.277928291005082,9.4048550829757,10.2426661249483,10.398853124934249,12.611078749992885,t,2.351147250039503,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
42,61,112,0,1,1,72,12.631995250005275,,,,,,,,12.612409582943656,12.631995250005275,13.609576332964934,13.626662540948018,15.344502541003749,t,1.7176527089904994,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
70,137,64,0,2,2,56,15.374929999932647,,,,,,,,15.345206249970943,15.374929999932647,16.336033665924333,16.366901458008215,19.15089720801916,t,2.794243291951716,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
76,91,118,0,3,3,62,19.166883540921845,,,,,,,,19.15160066599492,19.166883540921845,20.150871958001517,20.15961412503384,21.668705290998332,t,1.5138224159600213,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
86,91,44,0,4,4,8,21.683774290955625,,,,,,,,21.669433500035666,21.683774290955625,22.668611750006676,22.676996249938384,24.27833450003527,t,1.604894999996759,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
5,9,44,0,5,5,35,24.293388874968514,,,,,,,,24.279026290983893,24.293388874968514,25.27722329099197,25.28336424997542,27.95110487495549,t,2.6622649169294164,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
91,105,56,0,6,6,95,27.9646851249272,,,,,,,,27.95180379098747,27.9646851249272,28.951966541004367,28.960662374971434,30.994721915922128,t,2.032703041913919,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
79,84,131,0,7,7,14,31.008698374964297,,,,,,,,30.99543162493501,31.008698374964297,31.993464207975194,32.00000991602428,34.56865879101679,t,2.565293583087623,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
81,94,112,0,8,8,46,34.58345483301673,,,,,,,,34.56948541593738,34.58345483301673,35.568255790974945,35.57736529095564,37.11137683293782,t,1.5378723329631612,None,final_pushkar,001,2023-11-10_15h26.05.501,experiment,2023.2.2,None,2023-11-10 15h26.20.468853 +0530,
