delay,frequency,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Cue.started,response.started,Cue.stopped,response.keys,response.rt,response.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,report_timing.started,report_timing.stopped,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0452039159135893,6.53927599999588,space,6.420356458052993,0.07256695791147649,,,,,,,,,,,,,,,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.7,400,expected,0,0,0,8,6.658828957937658,,,,,,,6.560553290997632,7.044506874983199,8.622078249929473,space,1.5684073750162497,None,8.622888291021809,9.32636222500587,9.662721375003457,9.624780790996738,9.624833540990949,12.713923958013766,46.66666666666669,3.067122625070624,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.4,400,expected,0,1,1,7,12.7198233329691,,,,,,,12.714413875015453,13.219111250014976,14.586490999907255,space,1.3666762079810724,None,14.586752541013993,14.987802765925881,15.303487750003114,15.284871749929152,15.28491079097148,17.24820558296051,90.00000000000003,1.9290991669986397,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.7,400,expected,0,2,2,11,17.26200024993159,,,,,,,17.24858333298471,17.75252116599586,20.054301082971506,space,2.2964545409195125,None,20.054550540982746,20.75411134994356,21.07123270793818,21.051999207935296,21.05204166600015,23.10138324997388,273.3333333333333,2.03071183396969,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.4,400,expected,0,3,3,3,23.11194666591473,,,,,,,23.101667165989056,23.602623124956153,25.44741708296351,space,1.8354486249154434,None,25.448087207973003,25.85398914095713,26.16955870797392,26.15166487498209,26.151719790999778,28.03341783292126,371.1111111111111,1.863966542063281,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.4,400,expected,0,4,4,10,28.045261332998052,,,,,,,28.033684249967337,28.53528391593136,29.046391375013627,space,0.5000034580007195,None,29.046691332943738,29.454562890937087,29.770940832910128,29.75128450000193,29.751340791000985,32.27117916592397,433.33333333333337,2.5004859160399064,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.1,400,expected,0,5,5,6,32.27800937497523,,,,,,,32.27144566597417,32.770089583005756,34.43044858297799,space,1.6528452499769628,None,34.43110704096034,34.53758172494126,34.853266624966636,34.83470754092559,34.83473958296236,36.15788662491832,580.0,1.3055799580179155,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.7,400,expected,0,6,6,5,36.17827858298551,,,,,,,36.158146457979456,36.66209433297627,37.25661083299201,space,0.5850387079408392,None,37.256863499991596,37.960911015991584,38.27686270792037,38.25864308292512,38.258687415975146,39.60360737494193,538.8888888888889,1.3275955419521779,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.1,1000,unexpected,0,7,7,0,39.61171008297242,,,,,,,39.60388654097915,40.10507087490987,40.60347845801152,space,0.49671012500766665,None,40.60372158291284,40.704300766007506,41.020455082994886,41.002029249910265,41.002071624970995,45.023373708012514,350.0,4.003452583099715,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.1,400,expected,0,8,8,9,45.02960845793132,,,,,,,45.02366937499028,45.52925499994308,47.01358408294618,space,1.480734874960035,None,47.014264790923335,47.12107022491982,47.43828370794654,47.41895666602068,47.41899575002026,49.57358170801308,188.88888888888889,2.136150583042763,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
0.7,1000,unexpected,0,9,9,4,49.57968374993652,,,,,,,49.5738966249628,50.079411040991545,50.7540141249774,space,0.6721243750071153,None,50.75424395792652,51.45500209998572,51.77060737495776,51.752359958016314,51.7523983749561,53.61999783292413,684.4444444444445,1.850186208030209,KRUTI_T,001,2023-10-31_15h40.37.820,experiment,2023.2.2,119.79305704779313,2023-10-31 15h40.49.046406 +0530,
