delay,frequency,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Cue.started,response.started,Cue.stopped,response.keys,response.rt,response.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,report_timing.started,report_timing.stopped,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.016363084025215358,10.176798875036184,space,10.140334124967922,None,,,,,,,,,,,,,,,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.7,1000,unexpected,0,0,0,4,10.218972209026106,,,,,,,10.187577459029853,10.681073167012073,11.19698754203273,space,0.5101950420066714,None,11.197477791982237,11.897523313213606,12.387661084008869,12.351975500001572,12.35202475002734,24.008803834032733,411.1111111111111,11.634987166966312,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.1,400,expected,0,1,1,9,24.014626750024036,,,,,,,24.009255166980438,24.51309033401776,24.874505541985855,space,0.35749999998370185,None,24.875011417025235,24.981721938215195,25.458915458992124,25.435590750013944,25.43566241703229,27.464342041988857,411.1111111111111,2.005804457992781,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.1,400,expected,0,2,2,6,27.472650291980244,,,,,,,27.46462350001093,27.96552445902489,28.29812012502225,space,0.33186420798301697,None,28.298359791981056,28.398784063209312,28.875747749989387,28.853664792026393,28.853723084030207,38.4456053749891,567.7777777777778,9.570404790982138,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.4,400,expected,0,3,3,3,38.45637504203478,,,,,,,38.44586483400781,38.94782904203748,39.04770408401964,space,0.09515974996611476,None,39.04791058402043,39.448809521191286,39.92607195902383,39.90355779201491,39.90363312500995,41.56218233401887,567.7777777777778,1.6371202089940198,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.7,400,expected,0,4,4,11,41.57316491700476,,,,,,,41.562443834031,42.063320708984975,42.34127608401468,space,0.27316033298848197,None,42.34150633402169,43.04890222920803,43.52630941703683,43.503854124981444,43.50392379198456,49.553359500016086,327.77777777777777,6.027541125018615,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.4,400,expected,0,5,5,7,49.55933741701301,,,,,,,49.5536199589842,50.05598754202947,50.64204341702862,space,0.5760316660162061,None,50.642695375019684,51.049150479235685,51.526000041980296,51.504922959022224,51.504973167029675,52.94004929199582,203.33333333333331,1.4149359589791857,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.7,400,expected,0,6,6,8,52.94560962502146,,,,,,,52.940318584034685,53.440329500008374,53.49160916701658,space,0.04311075003352016,None,53.49226475000614,54.205993854184634,54.68190529203275,54.659800167020876,54.6598742090282,67.1455801249831,500.0,12.464045625005383,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.4,1000,unexpected,0,7,7,2,67.15695337502984,,,,,,,67.14583979203599,67.64937062503304,67.89227445900906,space,0.23272458399878815,None,67.89293958398048,68.29961789618247,68.7763168750098,68.75441808399046,68.75447345903376,70.94551283400506,405.55555555555554,2.1694653339800425,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
0.7,400,expected,0,8,8,5,70.95731199998409,,,,,,,70.94577233400196,71.44938420900144,71.5919192500296,space,0.13483349996386096,None,71.59256825002376,72.29946864621016,72.77606958401157,72.75455362501089,72.75461162498686,74.54647850000765,405.55555555555554,1.7703612089972012,badri,001,2023-10-27_13h13.58.568,experiment,2023.2.2,118.53461529942098,2023-10-27 13h14.08.465671 +0530,
