8.8835 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.6896 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9348981c10>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9348981bb0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9348981a00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f935b69c1c0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.6972 	EXP 	window1: mouseVisible = True
9.6973 	EXP 	window1: backgroundImage = ''
9.6973 	EXP 	window1: backgroundFit = 'none'
9.7008 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.7009 	EXP 	window1: recordFrameIntervals = False
9.7882 	EXP 	window1: recordFrameIntervals = True
9.9225 	EXP 	Screen (0) actual frame rate measured at 118.53Hz
9.9225 	EXP 	window1: recordFrameIntervals = False
9.9241 	EXP 	window1: mouseVisible = False
12.1377 	EXP 	experiment: status = STARTED
12.1421 	EXP 	window1: mouseVisible = True
12.1844 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.1881 	EXP 	window1: mouseVisible = True
12.1915 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
12.1945 	EXP 	window1: mouseVisible = True
12.1971 	EXP 	Created cue = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-0.6078,  0.6078, -0.6078]), fillColorSpace='rgb', fillRGB=array([-0.6078,  0.6078, -0.6078]), interpolate=True, lineColor=array([-0.6078,  0.6078, -0.6078]), lineColorSpace='rgb', lineRGB=array([-0.6078,  0.6078, -0.6078]), lineWidth=1.0, name='cue', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.3280 	EXP 	Sound sound_1 set volume 1.000
13.3382 	EXP 	window1: mouseVisible = True
13.3502 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.3671 	EXP 	window1: mouseVisible = True
13.3706 	EXP 	window1: mouseVisible = True
13.3757 	EXP 	window1: mouseVisible = True
13.3804 	EXP 	window1: mouseVisible = True
13.3837 	EXP 	window1: mouseVisible = True
13.3870 	EXP 	window1: mouseVisible = True
13.4005 	EXP 	window1: mouseVisible = True
13.4035 	EXP 	window1: mouseVisible = True
13.4069 	EXP 	window1: mouseVisible = True
13.4102 	EXP 	window1: mouseVisible = True
13.4214 	EXP 	window1: mouseVisible = True
13.4244 	EXP 	window1: mouseVisible = True
13.4278 	EXP 	window1: mouseVisible = True
13.4331 	EXP 	window1: mouseVisible = True
13.4469 	EXP 	window1: mouseVisible = True
13.4498 	EXP 	window1: mouseVisible = True
13.4531 	EXP 	window1: mouseVisible = True
13.4562 	EXP 	window1: mouseVisible = True
13.4643 	EXP 	window1: mouseVisible = True
13.4673 	EXP 	window1: mouseVisible = True
13.4705 	EXP 	window1: mouseVisible = True
13.4738 	EXP 	window1: mouseVisible = True
13.4834 	EXP 	window1: mouseVisible = True
13.4864 	EXP 	window1: mouseVisible = True
13.4897 	EXP 	window1: mouseVisible = True
13.4930 	EXP 	window1: mouseVisible = True
13.5008 	EXP 	window1: mouseVisible = True
13.5037 	EXP 	window1: mouseVisible = True
13.5069 	EXP 	window1: mouseVisible = True
13.5102 	EXP 	window1: mouseVisible = True
13.5222 	EXP 	window1: mouseVisible = True
13.5252 	EXP 	window1: mouseVisible = True
13.5302 	EXP 	window1: mouseVisible = True
13.5336 	EXP 	window1: mouseVisible = True
13.5415 	EXP 	window1: mouseVisible = True
13.5444 	EXP 	window1: mouseVisible = True
13.5498 	EXP 	window1: mouseVisible = True
13.5529 	EXP 	window1: mouseVisible = True
13.5644 	EXP 	window1: mouseVisible = True
13.5674 	EXP 	window1: mouseVisible = True
13.5707 	EXP 	window1: mouseVisible = True
13.5740 	EXP 	window1: mouseVisible = True
13.5831 	EXP 	window1: mouseVisible = True
13.5875 	EXP 	window1: mouseVisible = True
13.6257 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=(0, 250, 500, 750, 1000), lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1.  , 0.08]), startValue=None, style='slider', styleTweaks=[], ticks=array([   0,  250,  500,  750, 1000]), units='height', win=Window(...))
0.0161 	EXP 	slider: autoLog = True
0.0161 	EXP 	slider: styleTweaks = []
0.0161 	EXP 	slider: styleTweaks = []
0.0161 	EXP 	slider: styleTweaks = []
0.0161 	EXP 	slider: styleTweaks = []
0.0161 	EXP 	slider: contrast = 1.0
0.0161 	EXP 	slider: markerPos = None
0.0161 	EXP 	slider: autoLog = True
