delay,frequency,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Cue.started,response.started,Cue.stopped,response.keys,response.rt,response.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,report_timing.started,report_timing.stopped,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.05504699994344264,109.7869764160132,space,109.61209733400028,None,,,,,,,,,,,,,,,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.7,400,expected,0,0,0,5,110.00142774998676,,,,,,,109.82920591603033,110.29487099999096,112.32436891598627,space,2.020678000058979,None,112.32544245792087,113.03145569998306,113.37392629100941,113.32869287498761,113.3287395000225,121.83050641592126,251.11111111111111,8.483946832944639,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.4,400,expected,0,1,1,3,121.8388401659904,,,,,,,121.83095949993003,122.33118300000206,124.59140399994794,space,2.258652957971208,None,124.59207820799202,124.99786157503259,125.31337799993344,125.2953997500008,125.29543779103551,127.66465499997139,493.33333333333337,2.351760874968022,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.4,400,expected,0,2,2,10,127.67231075000018,,,,,,,127.66492725000717,128.16261504101567,129.16384687495884,space,0.994291290990077,None,129.1640709999483,129.56479815794154,129.88054537493736,129.86237833299674,129.86241850000806,132.52045674994588,246.66666666666666,2.640160582959652,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.7,400,expected,0,3,3,11,132.52592870802619,,,,,,,132.52072874992155,133.02296924998518,134.66656845796388,space,1.6338232080452144,None,134.66684716602322,135.37034028295892,135.6864327499643,135.6685040409211,135.66854716592934,138.7998823330272,505.55555555555554,3.114395125070587,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.1,400,expected,0,4,4,1,138.8061645409325,,,,,,,138.80015120794997,139.30697429098655,140.81406079092994,space,1.5014347080141306,None,140.81427841598634,140.91452728298026,141.2314758329885,141.2126200409839,141.21266674995422,143.40806954097934,253.3333333333333,2.173692249925807,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.1,1000,unexpected,0,5,5,0,143.4136136249872,,,,,,,143.40834291593637,143.91233354096767,146.74737200001255,space,2.8303933329880238,None,146.7476423329208,146.84806136593687,147.16535479098093,147.14577900001314,147.14581370796077,150.6989851249382,250.0,3.5341407920932397,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.7,1000,unexpected,0,6,6,4,150.70572379103396,,,,,,,150.69925270800013,151.20672575000208,151.8740323749371,space,0.660116916988045,None,151.87470679101534,152.58146090798544,152.89650779101066,152.87878816598095,152.87884329096414,154.42348420794588,501.1111111111111,1.5271960839163512,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.7,400,expected,0,7,7,8,154.42921849992126,,,,,,,154.42374508292414,154.93121366598643,155.86519491602667,space,0.9286970839602873,None,155.86542395793367,156.56474999098572,156.88124200003222,156.86274483299349,156.86279070796445,158.58995545795187,750.0,1.7091864579124376,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.1,400,expected,0,8,8,6,158.59569674998056,,,,,,,158.59021820803173,159.08944879099727,160.00870904093608,space,0.9176814169622958,None,160.00941637495998,160.1147444500122,160.4291443330003,160.4119188329205,160.41195383295417,162.41188270796556,250.0,1.9812525419984013,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.4,1000,unexpected,0,9,9,2,162.42298783292063,,,,,,,162.41228370799217,162.91370933293365,162.92298274999484,space,0.003956542001105845,None,162.92326141602825,163.3314474910032,163.64800174999982,163.62906404095702,163.6290987499524,165.63444204092957,148.8888888888889,1.987519916961901,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.4,400,expected,0,10,10,7,165.64051950001158,,,,,,,165.63471020793077,166.13957933301572,167.98102149995975,space,1.8389212919864804,None,167.981249375036,168.38174490798264,168.69734945800155,168.67940000002272,168.6794357500039,170.81399891595356,411.1111111111111,2.117403040989302,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.1,400,expected,0,11,11,9,170.82263729092665,,,,,,,170.81427012500353,171.31120154098608,172.05744937493,space,0.741789749939926,None,172.05815983295906,172.16471119998022,172.48071924992837,172.46264799998607,172.46269120799843,174.3181146660354,39.99999999999998,1.837788917007856,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.4,400,expected,1,0,12,10,174.33892250002827,,,,,,,174.31838737498038,174.8234824159881,176.59781837498304,space,1.7701134169474244,None,176.59805775003042,176.9979131999891,177.31342908297665,177.29541304102167,177.2954500829801,180.60078924999107,511.1111111111111,3.2880322079872712,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
0.1,400,expected,1,1,13,6,180.60722899995744,,,,,,,180.6010560829891,181.10692145803478,181.96521629102062,space,0.8512590000173077,None,181.96542762499303,182.06482436594086,182.37992404098623,182.36230504093692,182.36234112503007,183.83559887495358,404.44444444444446,1.4560031670844182,muskan,001,2023-10-31_15h03.06.010,experiment,2023.2.2,118.900409005157,2023-10-31 15h03.19.273856 +0530,
