7.3101 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
8.1157 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe69a5d6970>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe69a5d6910>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe69a5d6790>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe69a7adf40>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.1230 	EXP 	window1: mouseVisible = True
8.1230 	EXP 	window1: backgroundImage = ''
8.1230 	EXP 	window1: backgroundFit = 'none'
8.1264 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.1264 	EXP 	window1: recordFrameIntervals = False
8.2150 	EXP 	window1: recordFrameIntervals = True
8.2819 	WARNING 	t of last frame was 10.30ms (=1/97)
8.3896 	EXP 	Screen (0) actual frame rate measured at 118.93Hz
8.3897 	EXP 	window1: recordFrameIntervals = False
8.3909 	EXP 	window1: mouseVisible = False
10.6114 	EXP 	experiment: status = STARTED
10.6164 	EXP 	window1: mouseVisible = True
10.6617 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.6651 	EXP 	window1: mouseVisible = True
10.6714 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
10.6746 	EXP 	window1: mouseVisible = True
10.6774 	EXP 	Created cue = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-0.6078,  0.6078, -0.6078]), fillColorSpace='rgb', fillRGB=array([-0.6078,  0.6078, -0.6078]), interpolate=True, lineColor=array([-0.6078,  0.6078, -0.6078]), lineColorSpace='rgb', lineRGB=array([-0.6078,  0.6078, -0.6078]), lineWidth=1.0, name='cue', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.2856 	EXP 	Sound sound_1 set volume 1.000
11.2898 	EXP 	window1: mouseVisible = True
11.3050 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.3222 	EXP 	window1: mouseVisible = True
11.3256 	EXP 	window1: mouseVisible = True
11.3324 	EXP 	window1: mouseVisible = True
11.3354 	EXP 	window1: mouseVisible = True
11.3389 	EXP 	window1: mouseVisible = True
11.3423 	EXP 	window1: mouseVisible = True
11.3564 	EXP 	window1: mouseVisible = True
11.3594 	EXP 	window1: mouseVisible = True
11.3628 	EXP 	window1: mouseVisible = True
11.3662 	EXP 	window1: mouseVisible = True
11.3774 	EXP 	window1: mouseVisible = True
11.3805 	EXP 	window1: mouseVisible = True
11.3839 	EXP 	window1: mouseVisible = True
11.3872 	EXP 	window1: mouseVisible = True
11.4010 	EXP 	window1: mouseVisible = True
11.4041 	EXP 	window1: mouseVisible = True
11.4075 	EXP 	window1: mouseVisible = True
11.4109 	EXP 	window1: mouseVisible = True
11.4191 	EXP 	window1: mouseVisible = True
11.4222 	EXP 	window1: mouseVisible = True
11.4257 	EXP 	window1: mouseVisible = True
11.4290 	EXP 	window1: mouseVisible = True
