pos,correct_response,condition,counter_balancing.thisRepN,counter_balancing.thisTrialN,counter_balancing.thisN,counter_balancing.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instruction.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,final.started,key_resp_3.started,final.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0129005,7.741257584,space,7.690773875,None,,,,,,,,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,0,0,0,1,,,,,7.814104709,,,,,,,7.768146584,0.60358125,9.870129542,x,1,1.514687875,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,0,1,1,2,,,,,9.877331834,,,,,,,9.871302125,0.605139584,11.62622442,c,1,1.144921209,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
150,v,random,0,0,0,0,0,2,2,3,,,,,11.6345365,,,,,,,11.62709042,0.599843334,13.13383029,v,1,0.903051041,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,0,3,3,2,,,,,13.14216671,,,,,,,13.13474292,0.609002333,14.62606846,c,1,0.878299209,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,1,0,4,0,,,,,14.63431758,,,,,,,14.62691888,0.604246,16.05227604,z,1,0.81585075,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,1,1,5,1,,,,,16.07619054,,,,,,,16.05329571,0.606553625,17.37619471,x,1,0.710370167,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,1,2,6,0,,,,,17.38434217,,,,,,,17.37704717,0.603947292,18.57756163,z,1,0.595441291,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,1,3,7,2,,,,,18.58595142,,,,,,,18.57838871,0.603011,19.92754588,c,1,0.73781575,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
150,v,random,0,0,0,0,2,0,8,3,,,,,19.93710458,,,,,,,19.92856517,0.603018459,21.07101438,v,1,0.531994333,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,2,1,9,0,,,,,21.08061388,,,,,,,21.07200283,0.60503525,22.01032129,z,1,0.332561,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,2,2,10,0,,,,,22.02636929,,,,,,,22.01144408,0.615804084,23.06044979,z,1,0.428152292,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,2,3,11,1,,,,,23.07828067,,,,,,,23.06127975,0.599281834,24.21037267,x,1,0.529686791,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,3,0,12,1,,,,,24.22702179,,,,,,,24.21128275,0.603764583,25.45465896,x,1,0.638059291,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
150,v,random,0,0,0,0,3,1,13,3,,,,,25.46401479,,,,,,,25.45566729,0.607582,26.57316379,v,1,0.498699625,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,3,2,14,0,,,,,26.58091554,,,,,,,26.57433917,0.603118125,27.58691175,z,1,0.403827084,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,3,3,15,1,,,,,27.59682733,,,,,,,27.58807196,0.605564125,28.76229658,x,1,0.56787225,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
150,v,random,0,0,0,0,4,0,16,3,,,,,28.77111913,,,,,,,28.76319258,0.607557041,29.84511188,v,1,0.468851667,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,4,1,17,2,,,,,29.85401808,,,,,,,29.84601913,0.602496666,31.16059496,c,1,0.704437625,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,4,2,18,1,,,,,31.16850329,,,,,,,31.16142188,0.603339792,33.35524708,x,1,1.580078709,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,4,3,19,2,,,,,33.36282338,,,,,,,33.35628354,0.604641042,34.67939092,c,1,0.712473625,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,5,0,20,2,,,,,34.68842296,,,,,,,34.6802945,0.601644792,36.04399208,c,1,0.756861667,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
150,v,random,0,0,0,0,5,1,21,3,,,,,36.05216421,,,,,,,36.04481412,0.603868167,37.16009692,v,1,0.50445775,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,5,2,22,2,,,,,37.16839817,,,,,,,37.16115671,0.599440917,38.63446333,c,1,0.870910792,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,5,3,23,0,,,,,38.64286313,,,,,,,38.6352305,0.608848667,39.78697792,z,1,0.539141583,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,6,0,24,2,,,,,39.79677746,,,,,,,39.78800142,0.606470542,41.11026058,c,1,0.713409792,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
150,v,random,0,0,0,0,6,1,25,3,,,,,41.11818517,,,,,,,41.11111679,0.604226417,42.21996392,v,1,0.501846959,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,6,2,26,0,,,,,42.24333025,,,,,,,42.22087333,0.601882167,43.19460404,z,1,0.369605,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,6,3,27,1,,,,,43.20453183,,,,,,,43.19573396,0.615527917,44.42118779,x,1,0.603502667,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,7,0,28,2,,,,,44.43097258,,,,,,,44.42224896,0.605288834,45.71090083,c,1,0.682859917,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,7,1,29,2,,,,,45.72756829,,,,,,,45.71190542,0.602518417,47.08480908,c,1,0.763426333,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,7,2,30,2,,,,,47.09302946,,,,,,,47.08563146,0.607897125,48.19527471,c,1,0.494587042,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-50,x,random,0,0,0,0,7,3,31,1,,,,,48.20422738,,,,,,,48.196184,0.615230542,49.35299642,x,1,0.534368583,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,8,0,32,0,,,,,49.36252196,,,,,,,49.35389333,0.6069375,50.34583863,z,1,0.37765025,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,8,1,33,0,,,,,50.35473667,,,,,,,50.34673462,0.614495166,51.35370375,z,1,0.384912541,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
150,v,random,0,0,0,0,8,2,34,3,,,,,51.36327204,,,,,,,51.3545985,0.606430916,52.59727358,v,1,0.628563583,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
50,c,random,0,0,0,0,8,3,35,2,,,,,52.61073763,,,,,,,52.59817433,0.599462166,53.66468617,c,1,0.464590625,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
-150,z,random,0,0,0,0,9,0,36,0,,,,,53.67743883,,,,,,,53.66560638,0.59945875,54.57011633,z,1,0.304493625,None,,,,,,,,final_pushkar,1,2023-10-16_08h14.12.312,oct 9 class,2023.2.2,120.356919,2023-10-16 08h14.23.043823 +0530
