trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,19.0368157997727,19.0368157997727,0.0230037998408079,20.0442424002103,[0.4074074074074074],[-0.006944444444444444],[1],[0],[0],[1.5096495002508163],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
1,0,1,0,10,20.6093223001807,20.6093223001807,0.0518461996689438,21.626755699981,"[-0.2025462962962963, -0.1886574074074074]","[-0.1527777777777778, -0.1574074074074074]","[1, 1]","[0, 0]","[0, 0]","[2.0802870001643896, 3.0298422002233565]",['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
2,0,2,0,10,23.6760478001087,23.6760478001087,0.0337975998409092,24.6778989001177,[-0.27199074074074076],[0.09490740740740741],[1],[0],[0],[1.2265900997444987],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
3,0,3,0,10,24.9597545000724,24.9597545000724,0.0510670999065041,25.9769954001531,[-0.45601851851851855],[0.40162037037037035],[1],[0],[0],[2.2747897002846003],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
4,0,4,0,10,27.2760704001411,27.2760704001411,0.0493397000245749,28.293453999795,[-0.2326388888888889],[-0.3784722222222222],[1],[0],[0],[2.1948653999716043],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
5,0,5,0,10,29.5764851002022,29.5764851002022,0.0570477996952831,30.6099296999163,[-0.32175925925925924],[0.41898148148148145],[1],[0],[0],[1.6373009998351336],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
6,0,6,0,5,31.2095380001701,31.2095380001701,0.0277762003242969,32.2113302000798,"[-0.5081018518518519, -0.49074074074074076]","[0.03125, 0.01273148148148148]","[1, 1]","[0, 0]","[0, 0]","[1.2987386998720467, 2.2321023996919394]",['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
7,0,7,0,5,33.4763205000199,33.4763205000199,0.0260188998654484,34.4777621999383,[-0.2175925925925926],[-0.2824074074074074],[1],[0],[0],[1.4172371998429298],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
8,0,8,0,5,34.926179899834,34.926179899834,0.0218696999363601,35.9277617000043,[0.07175925925925926],[0.11921296296296297],[1],[0],[0],[1.3235856001265347],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
9,0,9,0,10,36.292834599968,36.292834599968,0.0416472996585071,37.3112956997938,[0.06481481481481481],[0.24074074074074073],[1],[0],[0],[1.2321333000436425],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
10,0,10,0,10,37.5760491001419,37.5760491001419,0.0427876999601721,38.5930467997677,[0.4212962962962963],[0.03125],[1],[0],[0],[1.2677787998691201],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
11,0,11,0,5,38.8759129000827,38.8759129000827,0.0247937999665737,39.8774047000333,"[0.25462962962962965, 0.2951388888888889, 0.2604166666666667]","[0.015046296296296295, -0.018518518518518517, 0.02199074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.202851299662143, 2.5532656996510923, 3.4372711000032723]",['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
12,0,12,0,5,42.342518299818,42.342518299818,0.0288911997340619,43.3443249999545,[0.38773148148148145],[-0.3159722222222222],[1],[0],[0],[1.612557000014931],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
13,0,13,0,10,44.0596773000434,44.0596773000434,0.0792232998646795,45.0928115998394,[-0.4525462962962963],[-0.4756944444444444],[1],[0],[0],[2.349070600233972],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
14,0,14,0,10,46.4428085000254,46.4428085000254,0.0368063999339938,47.4612759998999,[0.5057870370370371],[-0.20949074074074073],[1],[0],[0],[1.5737299998290837],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
15,0,15,0,10,48.0761941000819,48.0761941000819,0.0520587000064551,49.0777885001152,[-0.44328703703703703],[0.1527777777777778],[1],[0],[0],[1.1764680999331176],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
16,0,16,0,5,49.2764766998589,49.2764766998589,0.0233700000680983,50.2779883001931,[0.05092592592592592],[-0.42476851851851855],[1],[0],[0],[1.5042197001166642],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
17,0,17,0,10,50.8278390001505,50.8278390001505,0.0354149001650512,51.8767947000451,[-0.4525462962962963],[0.004629629629629629],[1],[0],[0],[1.621320499572903],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
18,0,18,0,10,52.4924360997974,52.4924360997974,0.0482286000624299,53.5098524000495,[-0.04976851851851852],[-0.44907407407407407],[1],[0],[0],[1.2478713998571038],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
19,0,19,0,5,53.7765403999947,53.7765403999947,0.0234644999727606,54.7948185000568,[0.41898148148148145],[-0.40625],[1],[0],[0],[1.6397889996878803],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
20,0,20,0,10,55.4762375000864,55.4762375000864,0.0493135997094213,56.5093632000498,"[0.49421296296296297, 0.4756944444444444]","[-0.2048611111111111, -0.2025462962962963]","[1, 1]","[0, 0]","[0, 0]","[1.7593924002721906, 2.642855300102383]",['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
21,0,21,0,5,58.1431184997782,58.1431184997782,0.0222129002213478,59.1611448000185,[-0.003472222222222222],[0.44675925925925924],[1],[0],[0],[1.9241023999638855],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
22,0,22,0,5,60.0928497998975,60.0928497998975,0.022083600051701,61.0947933997958,[0.4085648148148148],[0.34375],[1],[0],[0],[1.3855166002176702],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
23,0,23,0,10,61.5262210001237,61.5262210001237,0.0403950000181794,62.5429046000354,[-0.4444444444444444],[-0.15162037037037038],[1],[0],[0],[1.885734099894762],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
24,0,24,0,5,63.4596194000914,63.4596194000914,0.0317879999056458,64.4613287001848,[-0.2199074074074074],[0.14467592592592593],[1],[0],[0],[1.197257500141859],['target'],1,1,2023-09-15_11h38.08.509,visual_search,2023.1.3,59.9731080490723
