trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,51.10014516,51.10014516,0.058115007,52.10365893,[0.24722222222222223],[-0.019444444444444445],[1],[0],[0],[2.7519191093742847],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
1,0,1,0,5,53.86200291,53.86200291,0.025641732,,[0.24722222222222223],[-0.019444444444444445],[1],[0],[0],[0.5352932699024677],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
2,0,2,0,5,54.42912546,54.42912546,0.027288839,55.4340619,[-0.16296296296296298],[-0.47129629629629627],[1],[0],[0],[3.432189453393221],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
3,0,3,0,10,57.92089747,57.92089747,0.050196799,58.93108501,[0.2712962962962963],[-0.44351851851851853],[1],[0],[0],[2.377309551462531],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
4,0,4,0,5,60.32301231,60.32301231,0.02740973,61.32897764,[-0.4083333333333333],[0.20833333333333334],[1],[0],[0],[1.7501595560461283],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
5,0,5,0,10,62.13507665,62.13507665,0.050857244,63.14402863,[0.007407407407407408],[0.40185185185185185],[1],[0],[0],[2.759170649573207],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
6,0,6,0,10,64.94780587,64.94780587,0.048750581,65.9582783,[-0.2574074074074074],[0.4398148148148148],[1],[0],[0],[3.69432676397264],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
7,0,7,0,5,68.66536193,68.66536193,0.02648662,69.67174681,[-0.2111111111111111],[-0.25555555555555554],[1],[0],[0],[2.267575079575181],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
8,0,8,0,10,70.99462134,70.99462134,0.051106576,72.00293688,[-0.39444444444444443],[-0.21574074074074073],[1],[0],[0],[3.624406000599265],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
9,0,9,0,10,74.67436413,74.67436413,0.051299019,75.68299656,[0.32592592592592595],[-0.06111111111111111],[1],[0],[0],[2.8923646360635757],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
10,0,10,0,5,77.59002917,77.59002917,0.026296398,78.59715316,[0.09537037037037037],[-0.23055555555555557],[1],[0],[0],[1.6847614496946335],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
11,0,11,0,5,79.30420301,79.30420301,0.024613732,80.31237278,[0.022222222222222223],[-0.4185185185185185],[1],[0],[0],[2.602768262848258],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
12,0,12,0,10,81.96453517,81.96453517,0.048653692,82.97673426,[-0.08055555555555556],[0.2796296296296296],[1],[0],[0],[2.4783787056803703],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
13,0,13,0,10,84.49544401,84.49544401,0.048053693,85.49662756,[-0.41388888888888886],[-0.39166666666666666],[1],[0],[0],[3.2620110902935266],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
14,0,14,0,5,87.78223417,87.78223417,0.026979063,88.7883026,[-0.044444444444444446],[-0.14814814814814814],[1],[0],[0],[1.9836844746023417],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
15,0,15,0,10,89.8272572,89.8272572,0.048633691,90.83648518,[0.45740740740740743],[0.028703703703703703],[1],[0],[0],[2.5603527799248695],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
