trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,20.988380632996268,20.988380632996268,0.041019926000444684,[0.44555555555555554],[0.4588888888888889],[1],[0],[0],[2.345257077999122],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
1,0,1,0,10,23.44533713299461,23.44533713299461,0.07737244799500331,[0.24888888888888888],[-0.11333333333333333],[1],[0],[0],[1.501136425002187],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
2,0,2,0,5,24.942261864998727,24.942261864998727,0.024978494002425577,"[0.4922222222222222, 0.46555555555555556]","[-0.42444444444444446, -0.4122222222222222]","[1, 1]","[0, 0]","[0, 0]","[1.6221797420002986, 2.24257126700104]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
3,0,3,0,10,27.245973642995523,27.245973642995523,0.043176088998734485,[0.31444444444444447],[-0.22444444444444445],[1],[0],[0],[1.8281108559967834],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
4,0,4,0,10,29.117218198000046,29.117218198000046,0.04313580699817976,[0.011111111111111112],[0.4122222222222222],[1],[0],[0],[1.1457168889974128],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
5,0,5,0,10,30.324797813998885,30.324797813998885,0.04580288099532481,[0.4855555555555556],[-0.32222222222222224],[1],[0],[0],[1.6552977440005634],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
6,0,6,0,10,32.03045934299735,32.03045934299735,0.043527952999284025,[-0.04555555555555556],[0.034444444444444444],[1],[0],[0],[1.1512342620044365],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
7,0,7,0,5,33.20261962999939,33.20261962999939,0.023447037005098537,[-0.44666666666666666],[0.06666666666666667],[1],[0],[0],[1.2610141099939938],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
8,0,8,0,10,34.52547593399504,34.52547593399504,0.04365314500319073,[0.2611111111111111],[-0.45444444444444443],[1],[0],[0],[1.9677477549994364],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
9,0,9,0,5,36.511594607000006,36.511594607000006,0.023621523003384937,[0.36444444444444446],[-0.02666666666666667],[1],[0],[0],[1.2221371149935294],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
10,0,10,0,5,37.76447475799796,37.76447475799796,0.023576828003569972,[-0.2722222222222222],[-0.4444444444444444],[1],[0],[0],[1.9838700729960692],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
11,0,11,0,10,39.81017446399346,39.81017446399346,0.04555515100219054,[0.3422222222222222],[0.22],[1],[0],[0],[0.9314178549975622],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
12,0,12,0,10,40.78746724899975,40.78746724899975,0.043392945000960026,[-0.30777777777777776],[0.3844444444444444],[1],[0],[0],[1.0884214649995556],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
13,0,13,0,10,41.93996458599577,41.93996458599577,0.04981762299576076,[-0.16],[0.3022222222222222],[1],[0],[0],[1.0153464599934523],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
14,0,14,0,5,42.972661980995326,42.972661980995326,0.0228921599991736,[0.16],[0.03222222222222222],[1],[0],[0],[1.265160012000706],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
15,0,15,0,10,44.29725675199734,44.29725675199734,0.04478859299706528,[-0.2677777777777778],[0.07],[1],[0],[0],[1.0629932519950671],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
16,0,16,0,5,45.38557366499299,45.38557366499299,0.023393688999931328,[0.3088888888888889],[0.28444444444444444],[1],[0],[0],[1.1041972210005042],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
17,0,17,0,5,46.52036006599519,46.52036006599519,0.023207435995573178,"[0.24444444444444444, 0.27]","[0.005555555555555556, 0.005555555555555556]","[1, 1]","[0, 0]","[0, 0]","[0.9006285209979978, 1.4037492179995752]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
18,0,18,0,5,47.95524317599484,47.95524317599484,0.023720840996247716,[0.42333333333333334],[-0.4211111111111111],[1],[0],[0],[1.416802847001236],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
19,0,19,0,5,49.41530878399499,49.41530878399499,0.025657192003563978,[0.09666666666666666],[0.20555555555555555],[1],[0],[0],[1.362403801002074],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
20,0,20,0,5,50.80230811999354,50.80230811999354,0.025276873995608184,[-0.07555555555555556],[-0.21777777777777776],[1],[0],[0],[1.4196273930065217],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
21,0,21,0,5,52.250806914998975,52.250806914998975,0.022352801002853084,[-0.32],[-0.11555555555555555],[1],[0],[0],[1.307248689001426],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
22,0,22,0,5,53.595562410999264,53.595562410999264,0.02245449899783125,[-0.013333333333333334],[0.38222222222222224],[1],[0],[0],[1.0182468370039715],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
23,0,23,0,10,54.67170844099746,54.67170844099746,0.046540287003153935,[0.13],[-0.021111111111111112],[1],[0],[0],[1.2631054890007363],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
24,0,24,0,5,55.95477543999732,55.95477543999732,0.023720545003016014,"[-0.36333333333333334, -0.3388888888888889]","[0.4811111111111111, 0.47444444444444445]","[1, 1]","[0, 0]","[0, 0]","[2.061029772994516, 2.4868354399950476]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
25,0,25,0,10,58.49906205199659,58.49906205199659,0.04556713499914622,[0.4077777777777778],[0.2611111111111111],[1],[0],[0],[1.6565156340002432],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
26,0,26,0,5,60.181851077999454,60.181851077999454,0.023808418998669367,[-0.1988888888888889],[0.12555555555555556],[1],[0],[0],[2.1318711650019395],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
27,0,27,0,10,62.37604825199378,62.37604825199378,0.04298619299515849,[-0.15888888888888889],[0.43444444444444447],[1],[0],[0],[1.1913524769988726],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
28,0,28,0,5,63.58655262999673,63.58655262999673,0.023550420999526978,[0.2411111111111111],[-0.3466666666666667],[1],[0],[0],[1.5251409210031852],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
29,0,29,0,5,65.14249869899504,65.14249869899504,0.023341382999205962,"[-0.11222222222222222, -0.11888888888888889]","[0.11888888888888889, 0.10555555555555556]","[1, 1]","[0, 0]","[0, 0]","[0.8951295189981465, 2.084231588996772]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
30,0,30,0,10,67.29007154899591,67.29007154899591,0.04360629499569768,[-0.4066666666666667],[0.2477777777777778],[1],[0],[0],[0.8915075129989418],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
31,0,31,0,5,68.1994984289995,68.1994984289995,0.023229421996802557,[-0.10111111111111111],[-0.19333333333333333],[1],[0],[0],[1.3315308669989463],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
32,0,32,0,5,69.56141305299388,69.56141305299388,0.023645307999686338,[0.14555555555555555],[-0.46555555555555556],[1],[0],[0],[2.114663410000503],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
33,0,33,0,10,71.73241112499818,71.73241112499818,0.043005428997275885,[0.23222222222222222],[0.48444444444444446],[1],[0],[0],[1.3446718260020134],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
34,0,34,0,10,73.12808448699798,73.12808448699798,0.04380030099855503,[0.24888888888888888],[0.39666666666666667],[1],[0],[0],[1.4527591860023676],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
35,0,35,0,5,74.60542803699354,74.60542803699354,0.022732679004548118,"[-0.3511111111111111, -0.3377777777777778]","[-0.005555555555555556, -0.013333333333333334]","[1, 1]","[0, 0]","[0, 0]","[1.0921653139957925, 1.690258210997854]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
36,0,36,0,5,76.32553251099307,76.32553251099307,0.02355500300473068,[-0.13777777777777778],[0.48333333333333334],[1],[0],[0],[1.4903554280026583],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
37,0,37,0,10,77.87168647099315,77.87168647099315,0.04435992200160399,[-0.30666666666666664],[0.21888888888888888],[1],[0],[0],[1.015604821004672],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
38,0,38,0,10,78.94034000199463,78.94034000199463,0.045288446999620646,[0.2922222222222222],[0.29333333333333333],[1],[0],[0],[1.1274299409997184],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
39,0,39,0,10,80.14567778199853,80.14567778199853,0.060919196002942044,[0.01],[0.044444444444444446],[1],[0],[0],[1.35110828300094],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
40,0,40,0,10,81.54119869399437,81.54119869399437,0.046533209999324754,[-0.47555555555555556],[0.0044444444444444444],[1],[0],[0],[1.183548769004119],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
41,0,41,0,5,82.75470892099838,82.75470892099838,0.02225113099848386,[-0.056666666666666664],[-0.2577777777777778],[1],[0],[0],[1.3954971479979577],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
42,0,42,0,5,84.17922794399783,84.17922794399783,0.022400811001716647,[-0.33444444444444443],[-0.03777777777777778],[1],[0],[0],[1.497900631999073],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
43,0,43,0,5,85.7115114249973,85.7115114249973,0.031133584001509007,[-0.4633333333333333],[-0.10888888888888888],[1],[0],[0],[0.7764841379976133],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
44,0,44,0,5,86.5138907149958,86.5138907149958,0.02413084499858087,[0.4955555555555556],[-0.42],[1],[0],[0],[2.0725818920036545],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
45,0,45,0,5,88.62435455999366,88.62435455999366,0.02329660000395961,[-0.052222222222222225],[-0.1711111111111111],[1],[0],[0],[0.9540125769999577],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
46,0,46,0,10,89.62827976299741,89.62827976299741,0.04332421700382838,[0.4088888888888889],[-0.08444444444444445],[1],[0],[0],[1.184692383001675],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
47,0,47,0,5,90.83776231599768,90.83776231599768,0.023079703001712915,"[0.43777777777777777, 0.4288888888888889]","[0.4822222222222222, 0.47888888888888886]","[1, 1]","[0, 0]","[0, 0]","[1.5228738290024921, 2.0172765309980605]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
48,0,48,0,10,92.91689036999742,92.91689036999742,0.042257724999217317,[-0.45444444444444443],[-0.3388888888888889],[1],[0],[0],[1.3571867589998874],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
49,0,49,0,5,94.29230611699313,94.29230611699313,0.02370941099798074,"[-0.15222222222222223, -0.14777777777777779]","[-0.15222222222222223, -0.16111111111111112]","[1, 1]","[0, 0]","[0, 0]","[1.3004105369982426, 1.8756727410000167]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
50,0,50,0,10,96.22888254999998,96.22888254999998,0.04340905500430381,[0.4855555555555556],[0.04555555555555556],[1],[0],[0],[1.4581577349963482],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
51,0,51,0,5,97.70631798199611,97.70631798199611,0.02433300499978941,[-0.043333333333333335],[0.21],[1],[0],[0],[1.0755974119965686],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
52,0,52,0,10,98.84536026699789,98.84536026699789,0.04615553900657687,[-0.2544444444444444],[-0.19777777777777777],[1],[0],[0],[1.8120959769948968],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
53,0,53,0,10,100.71388952399866,100.71388952399866,0.048336492996895686,[-0.16666666666666666],[0.40444444444444444],[1],[0],[0],[1.5857122519955738],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
54,0,54,0,5,102.322460132993,102.322460132993,0.023425726001732983,[0.33555555555555555],[0.3622222222222222],[1],[0],[0],[1.5976059010063182],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
55,0,55,0,10,103.97136011299881,103.97136011299881,0.04437427199445665,[0.32222222222222224],[-0.16333333333333333],[1],[0],[0],[1.5424846170062665],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
56,0,56,0,10,105.57344670699968,105.57344670699968,0.044682879000902176,[0.3055555555555556],[0.37444444444444447],[1],[0],[0],[1.1161623279986088],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
57,0,57,0,10,106.73720519299968,106.73720519299968,0.0431782759987982,[0.13444444444444445],[-0.4577777777777778],[1],[0],[0],[1.6389019429989276],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
58,0,58,0,5,108.39650204399368,108.39650204399368,0.02411886500340188,[-0.45555555555555555],[-0.2777777777777778],[1],[0],[0],[1.516675746999681],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
59,0,59,0,5,109.94319134699617,109.94319134699617,0.02335004199994728,[-0.39666666666666667],[-0.17444444444444446],[1],[0],[0],[1.0330468879983528],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
60,0,60,0,5,111.00856062799721,111.00856062799721,0.02521422499557957,[0.37444444444444447],[0.5],[1],[0],[0],[1.447394142000121],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
61,0,61,0,10,112.51282050399459,112.51282050399459,0.044538269998156466,[0.31444444444444447],[0.19333333333333333],[1],[0],[0],[1.2024339320050785],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
62,0,62,0,10,113.77176710899948,113.77176710899948,0.043759870997746475,[0.05555555555555555],[-0.17222222222222222],[1],[0],[0],[1.0548750960006146],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
63,0,63,0,5,114.844723229995,114.844723229995,0.02372309099882841,[-0.3988888888888889],[-0.12777777777777777],[1],[0],[0],[0.9906194269933621],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
64,0,64,0,10,115.89627848399687,115.89627848399687,0.04356438999820966,[0.3411111111111111],[-0.3477777777777778],[1],[0],[0],[1.476839625996945],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
65,0,65,0,5,117.39113058200019,117.39113058200019,0.023020653999992646,"[-0.0022222222222222222, 0.015555555555555555]","[-0.32222222222222224, -0.32222222222222224]","[1, 1]","[0, 0]","[0, 0]","[1.0289168009985588, 1.7572491870014346]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
66,0,66,0,5,119.1810036589959,119.1810036589959,0.025299695000285283,[0.1288888888888889],[0.4222222222222222],[1],[0],[0],[1.3195881359933992],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
67,0,67,0,5,120.53190308599733,120.53190308599733,0.024441068999294657,[0.31333333333333335],[0.15777777777777777],[1],[0],[0],[1.0742853809933877],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
68,0,68,0,10,121.67290681899613,121.67290681899613,0.045038007003313396,[-0.05444444444444444],[0.07111111111111111],[1],[0],[0],[1.0764099519947194],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
69,0,69,0,10,122.79130878399883,122.79130878399883,0.04271975700248731,[0.3566666666666667],[0.09222222222222222],[1],[0],[0],[1.5407387149971328],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
70,0,70,0,5,124.35502874699887,124.35502874699887,0.022983354996540584,[-0.1511111111111111],[0.43],[1],[0],[0],[1.2252927790032118],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
71,0,71,0,10,125.63936930299678,125.63936930299678,0.0461803130019689,"[-0.12111111111111111, -0.12555555555555556]","[-0.27666666666666667, -0.24888888888888888]","[1, 1]","[0, 0]","[0, 0]","[1.423049192999315, 2.073548916996515]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
72,0,72,0,5,127.73874380399502,127.73874380399502,0.02540910000243457,[0.42],[0.24333333333333335],[1],[0],[0],[1.2544328389994917],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
73,0,73,0,10,129.05362574299943,129.05362574299943,0.04251558599935379,[0.024444444444444446],[-0.3811111111111111],[1],[0],[0],[2.26068171299994],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
74,0,74,0,10,131.3880258989957,131.3880258989957,0.06078836799861165,[-0.10666666666666667],[0.18666666666666668],[1],[0],[0],[1.391571815001953],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
75,0,75,0,10,132.82387528499385,132.82387528499385,0.04155310600617668,[-0.058888888888888886],[0.44222222222222224],[1],[0],[0],[1.3073831820001942],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
76,0,76,0,10,134.1851898879977,134.1851898879977,0.04305584700341569,[-0.4266666666666667],[-0.38222222222222224],[1],[0],[0],[2.1318728539990843],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
