trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,25.181775250006467,0.019971458008512855,[0.4688888888888889],[-0.011111111111111112],[1],[0],[0],[1.9541297499090433],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
1,0,1,0,10,27.10816279205028,0.027907958952710032,"[-0.05444444444444444, -0.034444444444444444]","[-0.1322222222222222, -0.1322222222222222]","[1, 1]","[0, 0]","[0, 0]","[2.173840417061001, 2.6273329589748755]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
2,0,2,0,10,29.764180417056195,0.026003957958891988,[-0.13555555555555557],[0.09888888888888889],[1],[0],[0],[1.325510541908443],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
3,0,3,0,10,31.118753125076182,0.026108832913450897,[-0.29],[0.2811111111111111],[1],[0],[0],[1.91172833298333],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
4,0,4,0,10,33.06070849997923,0.026122665964066982,"[-0.14444444444444443, -0.1411111111111111]","[-0.30444444444444446, -0.3411111111111111]","[1, 1]","[0, 0]","[0, 0]","[3.0406331249978393, 5.307404499966651]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
5,0,5,0,10,38.39732579200063,0.026347625069320202,[0.008888888888888889],[0.31777777777777777],[1],[0],[0],[2.042589124990627],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
6,0,6,0,5,40.45707975002006,0.013936541974544525,[0.31666666666666665],[-0.30777777777777776],[1],[0],[0],[1.8129515419714153],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
7,0,7,0,5,42.28412379208021,0.013895291020162404,"[0.33111111111111113, 0.3188888888888889]","[0.15555555555555556, 0.1411111111111111]","[1, 1]","[0, 0]","[0, 0]","[1.6780377080431208, 2.3322789579397067]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
8,0,8,0,10,44.65037416701671,0.026397458044812083,[-0.4111111111111111],[-0.0033333333333333335],[1],[0],[0],[1.6516732500167564],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
9,0,9,0,5,46.315596875036135,0.014003499993123114,"[0.2088888888888889, 0.2222222222222222]","[-0.19333333333333333, -0.19333333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.4922466250136495, 2.2010566670214757]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
10,0,10,0,5,48.53394258406479,0.01362749992404133,"[0.2222222222222222, -0.09222222222222222]","[-0.19333333333333333, 0.005555555555555556]","[1, 1]","[0, 0]","[0, 0]","[0.23318650003056973, 1.4578245000448078]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
