study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,thisRow.t,notes,Instructions_study.started,Instructions_study.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,study word,study_text.started,slider.started,study_text.stopped,slider.response,slider.rt,instructions_test.started,instructions_test.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,test_phase.started,test word,reference,word condition,test_text.started,response.started,submit.started,test_phase.stopped,correct,response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.011316832999000326,6.107272332999855,space,6.056108625001798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
0,0,0,0,,,,,6.162282582998159,,,,,,,book,6.162282582998159,6.162282582998159,14.165894249999837,4.977777777777778,13.351653999998234,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
1,0,1,0,,,,,19.502983250000398,,,,,,,cushion,19.502983250000398,19.502983250000398,,4.977777777777778,1.4137394159988617,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
2,0,2,0,,,,,20.934960332997434,,,,,,,phone,20.934960332997434,20.934960332997434,,4.977777777777778,0.7692797920026351,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
3,0,3,0,,,,,21.72075762500026,,,,,,,marble,21.72075762500026,21.72075762500026,,4.977777777777778,0.81221595799434,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
4,0,4,0,,,,,22.55061320799723,,,,,,,board,22.55061320799723,22.55061320799723,,4.977777777777778,0.6995754160016077,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
5,0,5,0,,,,,23.26735029200063,,,,,,,laptop,23.26735029200063,23.26735029200063,,4.995555555555556,2.5490530829993077,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
6,0,6,0,,,,,25.833850542003347,,,,,,,chart,25.833850542003347,25.833850542003347,,4.995555555555556,2.46611975000269,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
7,0,7,0,,,,,28.317477374999726,,,,,,,t-shirt,28.317477374999726,28.317477374999726,,4.9911111111111115,2.465928959005396,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
8,0,8,0,,,,,30.80031033299747,,,,,,,mouse,30.80031033299747,30.80031033299747,,4.9911111111111115,1.6670393329986837,,,,,,,,,,,,,,,,,,,,,,,Pushti ,001,2023-10-05_14h52.18.852,word_priming_task,2023.2.2,120.67026201240608,2023-10-05 14h52.38.792587 +0530,
