study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,thisRow.t,notes,Instructions_study.started,Instructions_study.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,study word,study_text.started,slider.started,slider.response,slider.rt,instructions_test.started,instructions_test.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,test_phase.started,test word,reference,word condition,test_text.started,response.started,submit.started,test_phase.stopped,correct,response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.010363792,14.82289387,space,14.77025421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
0,0,0,0,,,,,14.87770908,,,,,,,book,14.87770908,14.87770908,5,3.350195667,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
1,0,1,0,,,,,18.21736708,,,,,,,cushion,18.21736708,18.21736708,5,0.914030542,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
2,0,2,0,,,,,19.14928054,,,,,,,phone,19.14928054,19.14928054,5,2.133495959,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
3,0,3,0,,,,,21.30146871,,,,,,,marble,21.30146871,21.30146871,5,0.83063175,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
4,0,4,0,,,,,22.14828879,,,,,,,board,22.14828879,22.14828879,5,1.975230209,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
5,0,5,0,,,,,24.14086075,,,,,,,laptop,24.14086075,24.14086075,5,0.7078395,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
6,0,6,0,,,,,24.86435383,,,,,,,chart,24.86435383,24.86435383,5,0.7662285,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
7,0,7,0,,,,,25.64947671,,,,,,,t-shirt,25.64947671,25.64947671,5,0.815326416,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
8,0,8,0,,,,,26.48113046,,,,,,,mouse,26.48113046,26.48113046,5,1.700073333,,,,,,,,,,,,,,,,,,,,,,,kruti,1,2023-10-05_14h35.26.223,word_priming_task,2023.2.2,120.4395432,2023-10-05 14h35.36.905446 +0530
